epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,2315.6,0.84555,0.67096,1.07738,0.91741,0.72577,0.8184,0.51676,1.28754,0.76704,1.34445,0.00024276,0.00024276,0.00024276
82,2343.87,0.85398,0.6743,1.08095,0.88434,0.75723,0.81403,0.50515,1.34006,0.74714,1.41479,0.000236869,0.000236869,0.000236869
83,2372.69,0.85183,0.67022,1.07156,0.91708,0.72383,0.81346,0.52051,1.28701,0.76547,1.34989,0.000230979,0.000230979,0.000230979
84,2400.75,0.84219,0.6718,1.07495,0.89907,0.74186,0.81041,0.52138,1.25821,0.77054,1.33747,0.000225089,0.000225089,0.000225089
1,33.8555,1.32387,1.86619,1.4716,0.6958,0.46472,0.51749,0.24563,1.87831,1.69058,1.87267,0.00023654,0.00023654,0.00023654
2,61.9421,1.2925,1.44498,1.42655,0.69947,0.53443,0.56781,0.26467,1.9057,1.75641,1.99797,0.000470625,0.000470625,0.000470625
3,91.6076,1.30889,1.43407,1.43443,0.64408,0.4527,0.50084,0.22637,2.00947,1.85651,2.01676,0.000700783,0.000700783,0.000700783
4,120.721,1.28828,1.3833,1.41418,0.71963,0.50604,0.55271,0.24426,2.02525,1.64058,2.03153,0.000696328,0.000696328,0.000696328
5,149.632,1.24936,1.31155,1.39168,0.72689,0.561,0.61403,0.30524,1.84,1.46719,1.84521,0.000690438,0.000690438,0.000690438
6,177.607,1.23355,1.24762,1.36937,0.79037,0.54745,0.62607,0.30332,1.79485,1.41911,1.84339,0.000684548,0.000684548,0.000684548
7,206.307,1.18818,1.1828,1.34816,0.78202,0.56493,0.62596,0.31559,1.76682,1.42921,1.85425,0.000678657,0.000678657,0.000678657
8,235.25,1.17121,1.14011,1.33622,0.77639,0.62389,0.68384,0.3659,1.61994,1.15242,1.67495,0.000672767,0.000672767,0.000672767
9,263.61,1.13268,1.06668,1.30222,0.79941,0.63108,0.7021,0.37135,1.68481,1.18315,1.75733,0.000666876,0.000666876,0.000666876
10,292.365,1.12492,1.04176,1.29584,0.81632,0.62241,0.70878,0.38872,1.62058,1.12578,1.6706,0.000660986,0.000660986,0.000660986
11,321.078,1.08877,0.9969,1.27693,0.8576,0.63454,0.72272,0.402,1.62229,1.10733,1.66753,0.000655095,0.000655095,0.000655095
12,349.646,1.07549,0.96509,1.26211,0.80628,0.66554,0.7398,0.38814,1.67235,1.06481,1.70854,0.000649204,0.000649204,0.000649204
13,378.381,1.06418,0.94752,1.25499,0.81628,0.678,0.72652,0.39037,1.64164,1.11285,1.65463,0.000643314,0.000643314,0.000643314
14,407.025,1.04894,0.92538,1.24633,0.86328,0.65459,0.74994,0.43079,1.52287,1.00312,1.56711,0.000637423,0.000637423,0.000637423
15,434.814,1.03455,0.89579,1.23316,0.89149,0.65263,0.75077,0.41477,1.6006,1.04458,1.6927,0.000631533,0.000631533,0.000631533
16,463.96,0.99867,0.85071,1.21372,0.85093,0.6774,0.76066,0.4039,1.59964,0.95955,1.64918,0.000625642,0.000625642,0.000625642
17,492.598,1.00602,0.85849,1.21826,0.85951,0.65134,0.75111,0.42527,1.48062,0.98998,1.5796,0.000619752,0.000619752,0.000619752
18,521.074,0.99884,0.84369,1.21143,0.84872,0.69703,0.76967,0.44945,1.44983,0.92248,1.56244,0.000613862,0.000613862,0.000613862
19,549.2,0.97596,0.79515,1.18635,0.81958,0.69595,0.75612,0.43697,1.46723,1.01396,1.57938,0.000607971,0.000607971,0.000607971
20,578.074,0.96871,0.7948,1.18847,0.82387,0.70261,0.76976,0.44852,1.50342,0.90447,1.58029,0.000602081,0.000602081,0.000602081
21,606.161,0.95413,0.79259,1.18309,0.87264,0.71408,0.78069,0.44862,1.45906,0.90311,1.57245,0.00059619,0.00059619,0.00059619
22,635.093,0.95343,0.76896,1.17362,0.87029,0.69367,0.77662,0.44471,1.50961,0.93445,1.55738,0.0005903,0.0005903,0.0005903
23,663.463,0.93311,0.74428,1.16988,0.89269,0.71481,0.79186,0.46887,1.469,0.86626,1.56061,0.000584409,0.000584409,0.000584409
